module,java_files,entities,controllers,services,repositories,todos
integration,172,26,15,15,27,3
accounting,77,17,5,6,17,0
pto,97,16,7,10,17,0
hrRussian,69,16,6,6,16,0
russianDoc,65,16,3,4,16,0
messaging,87,16,2,5,16,0
bim,75,12,9,9,12,0
analytics,89,12,4,7,12,0
task,60,11,2,5,11,4
auth,43,10,5,5,9,0
contractExt,61,9,6,6,11,0
warehouse,62,9,5,6,9,0
regulatory,49,9,3,4,9,0
ops,38,8,1,2,8,0
quality,51,7,3,5,7,0
settings,52,6,6,7,6,1
costManagement,43,6,5,5,6,0
permission,42,6,5,7,6,0
calendar,48,6,4,4,6,0
chatter,31,6,4,4,5,0
finance,47,6,4,4,6,0
cde,37,6,3,4,6,0
hr,39,6,3,4,6,0
pmWorkflow,46,6,3,3,7,0
procurementExt,33,6,2,1,9,0
ai,35,6,1,4,6,0
mobile,25,6,1,1,6,0
workflowEngine,32,6,1,1,6,0
planning,35,5,5,5,5,2
fleet,41,5,4,4,5,0
safety,41,5,3,3,5,0
support,28,5,2,2,5,0
iot,23,5,1,1,5,0
maintenance,23,5,1,1,5,0
portal,33,4,5,4,4,0
monitoring,30,4,4,4,4,0
revenueRecognition,31,4,4,4,4,0
changeManagement,35,4,3,3,4,0
closing,25,4,2,1,4,0
apiManagement,23,4,1,2,4,0
crm,24,4,1,1,4,0
kep,21,4,1,1,4,0
legal,25,4,1,1,4,0
organization,22,4,1,2,4,0
portfolio,28,4,1,1,4,0
project,31,4,1,3,4,0
recruitment,20,4,1,1,4,0
specification,31,4,1,2,4,0
closeout,24,3,3,3,3,0
contract,24,3,2,2,3,0
document,21,3,2,1,3,0
bidScoring,18,3,1,1,3,0
dailylog,20,3,1,2,3,0
design,16,3,1,1,3,0
estimate,20,3,1,1,3,0
leave,16,3,1,1,3,0
monteCarlo,17,3,1,1,3,0
punchlist,17,3,1,1,3,0
report,16,3,1,2,3,0
selfEmployed,21,3,1,1,3,0
taxRisk,21,3,1,1,3,0
dataExchange,20,3,0,3,3,0
notification,19,2,2,3,2,0
search,15,2,2,2,2,0
immutableAudit,11,2,1,1,2,0
journal,11,2,1,1,2,0
m29,15,2,1,1,2,0
monthlySchedule,11,2,1,1,2,0
payroll,14,2,1,1,2,0
procurement,19,2,1,1,2,0
scheduler,10,2,1,1,2,0
planfact,8,1,1,1,1,0
priceCoefficient,10,1,1,1,1,0
